Appliance Type,Model,Brand,Power (W),Voltage (V),Current (A),Operational Hours,Power Factor
1,27,2,1018.11,228.61,4.453,20,0.89
1,27,2,1485.17,223.47,6.646,21,0.83
1,27,2,3222.9,239.99,13.429,5,0.89
1,27,2,1956.76,234.19,8.355,18,0.65
1,27,2,3767.77,237.21,15.884,12,0.64
1,27,2,1437.73,232.37,6.187,13,0.63
1,27,2,2391.05,227.12,10.528,24,0.74
1,27,2,1741.08,237.24,7.339,10,0.8
1,27,2,1502.03,232.91,6.449,17,0.86
1,27,2,2487.4,238.44,10.432,15,0.72
1,27,2,3046.68,237.92,12.805,18,0.63
1,27,2,2795.16,239.83,11.655,15,0.9
1,27,2,3774.33,229.66,16.434,18,0.72
1,27,2,3172.79,224.92,14.106,20,0.84
1,27,2,3386.63,236.38,14.327,17,0.7
1,27,2,1345.86,223.0,6.035,15,0.75
1,27,2,2465.26,235.77,10.456,18,0.83
1,27,2,3527.77,234.26,15.059,13,0.8
1,27,2,2749.37,231.61,11.871,21,0.77
1,27,2,3593.8,220.73,16.281,22,0.69
1,27,2,2650.8,220.0,12.049,7,0.67
1,27,2,1790.34,229.17,7.812,23,0.7
1,27,2,1940.15,227.47,8.529,17,0.84
1,27,2,1329.2,225.84,5.886,10,0.81
1,27,2,3945.65,230.33,17.13,24,0.67
1,27,2,2486.78,223.5,11.127,5,0.84
1,27,2,3653.29,228.13,16.014,11,0.87
1,27,2,1627.09,224.15,7.259,11,0.84
1,27,2,2593.74,221.25,11.723,8,0.67
1,27,2,1915.72,222.26,8.619,23,0.66
1,27,2,2332.29,226.55,10.295,4,0.61
1,27,2,2402.74,220.85,10.88,18,0.73
1,27,2,1105.07,237.62,4.651,16,0.87
1,27,2,1571.07,220.17,7.136,24,0.85
1,27,2,1666.83,229.07,7.277,8,0.88
1,27,2,3109.97,229.16,13.571,16,0.73
1,27,2,3325.74,234.5,14.182,19,0.61
1,27,2,2145.16,232.73,9.217,11,0.82
1,27,2,3228.41,235.27,13.722,5,0.71
1,27,2,1055.96,222.49,4.746,12,0.69
1,27,2,1102.33,229.53,4.803,20,0.68
1,27,2,3122.14,227.0,13.754,6,0.79
1,27,2,2618.28,228.02,11.483,20,0.71
1,27,2,2059.61,234.13,8.797,21,0.7
1,27,2,1406.47,238.59,5.895,5,0.88
1,27,2,1484.6,221.45,6.704,15,0.71
1,27,2,1343.33,238.71,5.627,22,0.85
1,27,2,1615.87,232.8,6.941,22,0.71
1,27,2,1777.28,220.19,8.072,20,0.63
1,27,2,1173.42,229.36,5.116,13,0.85
1,27,2,3680.25,233.64,15.752,7,0.65
1,27,2,3151.83,222.42,14.171,15,0.77
1,27,2,2588.92,238.23,10.867,18,0.67
1,27,2,1623.36,229.09,7.086,9,0.8
1,27,2,2684.2,228.73,11.735,8,0.77
1,27,2,2534.2,220.85,11.475,4,0.73
1,27,2,3677.18,239.69,15.341,23,0.88
1,27,2,3413.17,238.0,14.341,14,0.88
1,27,2,2059.05,222.13,9.27,23,0.84
1,27,2,2028.28,223.13,9.09,10,0.81
1,27,2,1897.84,220.17,8.62,20,0.85
1,27,2,3155.19,231.34,13.639,12,0.74
1,27,2,1892.36,234.6,8.066,11,0.61
1,27,2,2189.11,233.97,9.356,14,0.73
1,27,2,2486.07,224.7,11.064,21,0.89
1,27,2,2208.08,224.95,9.816,18,0.75
1,27,2,3391.55,230.95,14.685,10,0.87
1,27,2,1680.59,223.97,7.504,4,0.67
1,27,2,3499.1,229.06,15.276,13,0.84
1,27,2,1108.3,224.24,4.942,8,0.61
1,27,2,2751.65,229.6,11.985,7,0.85
1,27,2,1545.38,238.66,6.475,5,0.64
1,27,2,1989.57,232.24,8.567,11,0.84
1,27,2,1234.61,233.33,5.291,16,0.61
1,27,2,2516.48,234.81,10.717,15,0.76
1,27,2,1380.51,228.9,6.031,7,0.78
1,27,2,2134.79,231.29,9.23,6,0.83
1,27,2,1013.23,224.29,4.517,11,0.77
1,27,2,2204.59,237.82,9.27,9,0.8
1,27,2,2812.91,234.67,11.987,15,0.7
1,27,2,2937.2,238.63,12.309,14,0.88
1,27,2,2437.47,229.91,10.602,16,0.79
1,27,2,2133.74,237.91,8.969,7,0.86
1,27,2,2080.32,230.88,9.01,22,0.78
1,27,2,3447.94,229.2,15.043,7,0.6
1,27,2,1439.48,230.52,6.244,6,0.86
1,27,2,2130.74,239.16,8.909,9,0.86
1,27,2,3556.88,239.92,14.825,17,0.84
1,27,2,2181.13,225.81,9.659,12,0.78
1,28,1,2038.94,231.07,8.824,24,0.67
1,28,1,3503.63,228.12,15.359,14,0.8
1,28,1,1819.91,239.31,7.605,18,0.89
1,28,1,1843.22,229.16,8.043,5,0.68
1,28,1,1156.44,227.75,5.078,21,0.69
1,28,1,1811.57,239.57,7.562,9,0.63
1,28,1,3693.6,229.48,16.096,5,0.88
1,28,1,3419.33,230.46,14.837,24,0.72
1,28,1,3787.5,234.85,16.127,19,0.72
1,28,1,1864.0,236.81,7.871,24,0.78
1,28,1,2748.66,228.35,12.037,19,0.67
1,28,1,3706.39,226.4,16.371,16,0.78
1,28,1,3187.52,225.04,14.164,7,0.65
1,28,1,1751.94,236.52,7.407,10,0.84
1,28,1,3981.59,221.71,17.959,14,0.72
1,28,1,3685.31,220.24,16.733,5,0.68
1,28,1,2234.9,238.21,9.382,15,0.85
1,28,1,3245.71,224.12,14.482,23,0.82
1,28,1,3502.69,239.98,14.596,13,0.68
1,28,1,3291.9,224.66,14.653,7,0.83
1,28,1,3108.4,235.68,13.189,16,0.78
1,28,1,1564.05,232.38,6.731,13,0.65
1,28,1,1905.81,231.36,8.237,11,0.88
1,28,1,3609.66,228.74,15.781,23,0.83
1,28,1,1701.16,234.25,7.262,21,0.72
1,28,1,3358.59,232.79,14.428,9,0.83
1,28,1,2469.82,238.27,10.366,21,0.64
1,28,1,3478.85,222.35,15.646,18,0.64
1,28,1,1571.64,235.54,6.672,18,0.72
1,28,1,2449.89,220.76,11.098,21,0.6
1,28,1,1562.81,236.52,6.608,16,0.73
1,28,1,2969.33,237.43,12.506,7,0.83
1,28,1,1691.76,221.42,7.641,20,0.72
1,28,1,3122.86,220.34,14.173,19,0.83
1,28,1,2990.08,228.26,13.099,6,0.7
1,28,1,1752.56,223.22,7.851,9,0.78
1,28,1,1745.41,234.69,7.437,19,0.79
1,28,1,1163.33,228.56,5.09,23,0.63
1,28,1,3804.82,227.28,16.741,23,0.71
1,28,1,2484.45,221.67,11.208,4,0.74
1,28,1,1037.68,235.19,4.412,17,0.68
1,28,1,1204.05,234.15,5.142,14,0.86
1,28,1,1096.15,232.82,4.708,11,0.9
1,28,1,2696.89,228.5,11.803,5,0.66
1,28,1,1477.17,229.84,6.427,22,0.81
1,28,1,2164.83,235.47,9.194,24,0.82
1,28,1,3362.81,230.77,14.572,21,0.89
1,28,1,1048.34,229.72,4.564,20,0.76
1,28,1,3402.35,237.02,14.355,11,0.79
1,28,1,2519.55,228.4,11.031,24,0.8
1,28,1,1965.82,237.29,8.284,19,0.63
1,28,1,1516.09,221.9,6.832,10,0.66
1,28,1,2672.32,238.06,11.225,4,0.83
1,28,1,3458.46,227.85,15.179,24,0.76
1,28,1,3223.28,229.9,14.02,17,0.61
1,28,1,3221.78,226.28,14.238,16,0.76
1,28,1,2722.81,230.16,11.83,4,0.69
1,28,1,1176.8,227.09,5.182,13,0.74
1,28,1,2289.49,222.57,10.287,24,0.81
1,28,1,1130.29,237.25,4.764,8,0.86
1,28,1,2592.83,233.98,11.081,11,0.85
1,28,1,1367.59,223.49,6.119,21,0.74
1,28,1,2789.26,221.55,12.59,17,0.79
1,28,1,3416.24,223.59,15.279,4,0.8
1,28,1,3126.73,232.11,13.471,20,0.68
1,28,1,3404.81,225.05,15.129,13,0.8
1,28,1,1114.62,233.38,4.776,6,0.82
1,28,1,2150.47,235.26,9.141,19,0.68
1,28,1,3986.52,222.09,17.95,21,0.77
1,28,1,1606.31,230.4,6.972,5,0.67
1,28,1,3519.47,225.41,15.614,15,0.65
1,28,1,1600.32,236.18,6.776,9,0.89
1,28,1,2605.07,223.6,11.651,14,0.89
1,28,1,2297.3,238.76,9.622,12,0.66
1,28,1,1121.31,231.36,4.847,12,0.85
1,28,1,2073.32,236.36,8.772,18,0.83
1,28,1,2224.94,239.8,9.278,22,0.68
1,28,1,1866.76,233.79,7.985,23,0.62
1,28,1,3194.5,232.11,13.763,11,0.77
1,28,1,1424.81,235.36,6.054,9,0.82
1,28,1,2648.86,224.76,11.785,12,0.78
1,28,1,2620.1,238.58,10.982,8,0.7
1,28,1,2112.48,235.87,8.956,11,0.89
1,28,1,2646.58,228.34,11.591,22,0.8
1,28,1,3681.9,239.98,15.343,16,0.78
1,28,1,1478.06,230.95,6.4,4,0.83
1,28,1,3960.46,233.41,16.968,4,0.61
1,28,1,1767.61,227.34,7.775,11,0.65
1,28,1,1123.92,237.13,4.74,23,0.67
1,28,1,2858.4,236.29,12.097,14,0.76
1,28,1,1722.75,227.84,7.561,19,0.75
1,28,1,1039.13,237.58,4.374,23,0.75
1,28,1,2159.06,229.81,9.395,18,0.66
1,28,1,2338.82,235.41,9.935,7,0.82
1,28,1,2487.68,236.96,10.498,7,0.77
1,28,1,2416.05,236.93,10.197,18,0.89
1,28,1,3321.53,238.18,13.945,11,0.77
1,28,1,3235.89,222.63,14.535,15,0.83
1,28,1,1843.98,232.62,7.927,7,0.6
1,28,1,2945.14,239.42,12.301,6,0.78
1,29,3,1108.51,233.16,4.754,23,0.81
1,29,3,1829.25,238.41,7.673,17,0.61
1,29,3,2535.75,234.89,10.795,6,0.82
1,29,3,2877.7,220.51,13.05,14,0.86
1,29,3,3262.49,234.98,13.884,16,0.65
1,29,3,3178.87,234.33,13.566,10,0.65
1,29,3,2841.61,234.76,12.104,20,0.66
1,29,3,1537.86,221.75,6.935,14,0.83
1,29,3,2745.11,221.22,12.409,11,0.7
1,29,3,1512.65,226.44,6.68,10,0.68
1,29,3,1350.38,226.76,5.955,18,0.87
1,29,3,3697.88,223.63,16.536,9,0.72
1,29,3,2737.62,236.44,11.578,16,0.68
1,29,3,1248.69,236.61,5.277,16,0.6
1,29,3,1923.92,228.27,8.428,11,0.9
1,29,3,3162.35,232.85,13.581,7,0.82
1,29,3,3029.91,222.15,13.639,21,0.79
1,29,3,3439.34,238.01,14.45,7,0.83
1,29,3,2808.23,221.03,12.705,7,0.72
1,29,3,3560.83,221.73,16.059,5,0.83
1,29,3,3531.91,229.28,15.404,24,0.7
1,29,3,3673.98,222.82,16.489,16,0.86
1,29,3,1517.87,233.06,6.513,13,0.66
1,29,3,3987.29,231.7,17.209,11,0.68
1,29,3,2853.81,222.56,12.823,18,0.88
1,29,3,2587.99,235.52,10.988,12,0.83
1,29,3,2635.97,224.62,11.735,13,0.68
1,29,3,2100.45,233.19,9.007,5,0.72
1,29,3,3239.05,235.2,13.771,9,0.72
1,29,3,1516.4,235.19,6.448,20,0.72
1,29,3,1945.93,224.58,8.665,7,0.9
1,29,3,2546.72,223.38,11.401,24,0.69
1,29,3,2334.28,237.52,9.828,10,0.61
1,29,3,2174.79,227.95,9.541,10,0.79
1,29,3,1874.72,224.12,8.365,15,0.69
1,29,3,3143.66,227.68,13.807,15,0.86
1,29,3,3915.39,220.36,17.768,23,0.88
1,29,3,2675.37,237.89,11.246,24,0.76
1,29,3,1816.68,223.57,8.126,4,0.86
1,29,3,1742.56,225.13,7.74,18,0.73
1,29,3,1890.58,235.12,8.041,9,0.61
1,29,3,1847.44,230.64,8.01,20,0.73
1,29,3,3674.01,235.88,15.576,9,0.73
1,29,3,2482.4,221.87,11.189,20,0.73
1,29,3,1077.58,239.9,4.492,15,0.73
1,29,3,1875.96,235.73,7.958,9,0.85
1,29,3,1091.28,235.03,4.643,9,0.61
1,29,3,3440.84,239.83,14.347,9,0.61
1,29,3,3036.15,237.62,12.777,9,0.62
1,29,3,3334.91,236.07,14.127,13,0.87
1,29,3,2271.43,232.93,9.752,22,0.63
1,29,3,3846.56,234.72,16.388,6,0.86
1,29,3,2282.94,238.89,9.556,9,0.73
1,29,3,2126.09,229.24,9.275,23,0.87
1,29,3,1784.6,231.33,7.715,20,0.77
1,29,3,2173.15,225.12,9.653,22,0.89
1,29,3,2626.54,221.75,11.845,16,0.74
1,29,3,1486.15,226.53,6.56,11,0.87
1,29,3,2755.88,236.52,11.652,4,0.63
1,29,3,2886.83,231.96,12.445,6,0.8
1,29,3,3688.51,236.84,15.574,22,0.78
1,29,3,3189.81,221.0,14.434,4,0.77
1,29,3,3209.34,222.87,14.4,5,0.84
1,29,3,2786.67,229.04,12.167,21,0.76
1,29,3,3987.05,226.53,17.601,13,0.81
1,29,3,2217.59,238.21,9.309,21,0.62
1,29,3,2531.31,232.38,10.893,20,0.71
1,29,3,1743.67,229.64,7.593,7,0.74
1,29,3,2370.3,227.82,10.404,24,0.71
1,29,3,3281.08,226.99,14.455,13,0.72
1,29,3,1360.34,223.6,6.084,23,0.89
1,29,3,1384.1,221.36,6.253,5,0.84
1,29,3,2414.85,225.23,10.722,20,0.69
1,29,3,1860.88,220.7,8.432,13,0.84
1,29,3,3665.01,227.72,16.094,15,0.88
1,29,3,1642.7,235.56,6.974,18,0.66
1,29,3,2202.61,239.24,9.207,19,0.7
1,29,3,1868.95,234.05,7.985,19,0.68
1,29,3,1470.64,235.38,6.248,12,0.6
1,29,3,3791.15,220.64,17.183,14,0.8
1,29,3,2978.0,233.64,12.746,18,0.82
1,29,3,1169.49,226.87,5.155,15,0.76
1,29,3,2471.46,237.38,10.411,24,0.81
1,29,3,3107.48,221.0,14.061,22,0.73
1,29,3,3661.55,225.22,16.258,19,0.65
1,29,3,2598.8,229.0,11.348,13,0.78
1,29,3,3949.02,221.08,17.862,5,0.83
1,29,3,3999.15,234.14,17.08,11,0.87
1,29,3,2510.51,225.51,11.133,15,0.63
1,29,3,3007.43,231.36,12.999,7,0.62
1,29,3,3082.73,239.94,12.848,16,0.86
1,29,3,3094.66,226.8,13.645,8,0.79
1,29,3,3670.75,235.43,15.592,21,0.84
1,29,3,1975.77,224.39,8.805,22,0.84
1,29,3,2819.38,224.3,12.57,9,0.81
1,29,3,3540.76,230.43,15.366,22,0.69
1,29,3,1961.4,225.62,8.693,19,0.81
1,29,3,1957.24,221.73,8.827,15,0.78
1,29,3,3290.57,233.44,14.096,10,0.84
1,29,3,3326.78,224.58,14.813,17,0.79
1,30,2,2825.1,227.59,12.413,10,0.67
1,30,2,2572.81,238.17,10.802,24,0.82
1,30,2,2026.84,238.45,8.5,5,0.76
1,30,2,3835.88,229.11,16.743,13,0.63
1,30,2,1790.86,239.64,7.473,21,0.65
1,30,2,1319.49,236.58,5.577,4,0.88
1,30,2,2885.76,236.42,12.206,18,0.74
1,30,2,2904.66,226.45,12.827,14,0.76
1,30,2,2166.8,236.11,9.177,11,0.6
1,30,2,3182.68,238.18,13.362,23,0.77
1,30,2,1604.71,220.09,7.291,18,0.89
1,30,2,2413.27,228.29,10.571,18,0.81
1,30,2,2095.89,227.28,9.222,22,0.61
1,30,2,2267.1,232.71,9.742,16,0.83
1,30,2,1636.75,228.76,7.155,16,0.77
1,30,2,1253.64,233.51,5.369,10,0.62
1,30,2,2458.34,235.11,10.456,24,0.9
1,30,2,2522.03,234.43,10.758,11,0.75
1,30,2,2089.51,227.8,9.173,10,0.72
1,30,2,1974.81,234.94,8.406,22,0.6
1,30,2,2132.85,230.28,9.262,7,0.71
1,30,2,2863.78,238.76,11.994,4,0.71
1,30,2,1248.58,230.12,5.426,16,0.65
1,30,2,3981.58,224.46,17.738,18,0.71
1,30,2,1167.82,234.33,4.984,17,0.79
1,30,2,2409.38,230.51,10.452,17,0.76
1,30,2,2781.54,228.99,12.147,21,0.88
1,30,2,2735.67,231.02,11.842,10,0.8
1,30,2,1614.02,227.16,7.105,24,0.67
1,30,2,1078.58,221.26,4.875,4,0.64
1,30,2,3042.23,231.82,13.123,11,0.87
1,30,2,3231.72,235.02,13.751,7,0.73
1,30,2,1117.86,238.31,4.691,23,0.88
1,30,2,3690.3,227.61,16.213,9,0.61
1,30,2,1462.39,224.39,6.517,9,0.85
1,30,2,3822.14,233.17,16.392,8,0.65
1,30,2,2619.86,233.67,11.212,8,0.6
1,30,2,3963.98,221.91,17.863,13,0.82
1,30,2,3963.19,230.7,17.179,9,0.67
1,30,2,2987.26,226.36,13.197,16,0.76
1,30,2,2781.92,230.89,12.049,8,0.75
1,30,2,1776.4,220.73,8.048,17,0.75
1,30,2,2339.01,236.23,9.901,4,0.88
1,30,2,3898.62,233.9,16.668,5,0.85
1,30,2,1785.71,230.66,7.742,23,0.63
1,30,2,2327.72,226.06,10.297,6,0.76
1,30,2,3136.79,232.23,13.507,13,0.83
1,30,2,1074.56,230.54,4.661,13,0.65
1,30,2,2763.51,225.01,12.282,6,0.62
1,30,2,3851.98,231.47,16.641,19,0.63
1,30,2,1440.15,229.77,6.268,20,0.65
1,30,2,1107.51,223.1,4.964,17,0.67
1,30,2,2739.2,236.1,11.602,20,0.71
1,30,2,2989.11,239.8,12.465,10,0.84
1,30,2,2472.31,233.53,10.587,22,0.74
1,30,2,2478.98,239.04,10.371,19,0.8
1,30,2,2260.65,235.83,9.586,19,0.78
1,30,2,1159.58,235.7,4.92,21,0.6
1,30,2,1689.37,220.49,7.662,8,0.77
1,30,2,1468.1,224.38,6.543,19,0.65
1,30,2,3642.35,234.92,15.505,11,0.64
1,30,2,3093.26,238.82,12.952,24,0.84
1,30,2,1277.1,224.73,5.683,11,0.68
1,30,2,1295.3,238.58,5.429,19,0.86
1,30,2,2661.31,220.32,12.079,14,0.78
1,30,2,3502.38,226.0,15.497,18,0.74
1,30,2,1303.33,222.15,5.867,4,0.76
1,30,2,2623.91,230.51,11.383,12,0.61
1,30,2,1851.25,236.11,7.841,11,0.66
1,30,2,1466.25,239.8,6.114,10,0.66
1,30,2,2142.34,237.4,9.024,11,0.84
1,30,2,3678.57,237.58,15.484,19,0.77
1,30,2,2210.95,220.72,10.017,18,0.73
1,30,2,1205.06,229.5,5.251,8,0.66
1,30,2,3348.23,229.05,14.618,5,0.76
1,30,2,2202.6,230.46,9.557,22,0.64
1,30,2,3074.88,235.07,13.081,11,0.63
1,30,2,3527.51,234.24,15.059,21,0.67
1,30,2,1893.41,224.63,8.429,24,0.73
1,30,2,1922.78,234.82,8.188,15,0.76
1,30,2,2775.97,223.84,12.402,13,0.88
1,30,2,3100.27,236.07,13.133,18,0.9
1,30,2,1996.34,231.05,8.64,5,0.67
1,30,2,1528.18,231.06,6.614,9,0.74
1,30,2,2326.44,236.13,9.852,10,0.84
1,30,2,3743.31,238.07,15.724,16,0.75
1,30,2,3832.61,228.23,16.793,5,0.72
1,30,2,1138.2,235.58,4.831,15,0.67
1,30,2,3893.79,234.06,16.636,10,0.72
1,30,2,1831.32,229.49,7.98,12,0.61
1,30,2,3262.95,229.93,14.191,6,0.88
1,30,2,3767.13,223.79,16.833,20,0.78
1,30,2,2442.05,233.29,10.468,20,0.88
1,30,2,1415.08,236.46,5.984,22,0.71
1,30,2,2470.76,230.34,10.727,21,0.64
1,30,2,1697.02,231.36,7.335,12,0.81
1,30,2,3787.27,236.43,16.019,6,0.73
1,30,2,2317.15,232.79,9.954,4,0.71
1,30,2,2488.19,232.04,10.723,15,0.65
1,30,2,2777.16,220.22,12.611,7,0.79
1,31,4,1510.63,231.24,6.533,16,0.62
1,31,4,2685.62,231.68,11.592,14,0.73
1,31,4,1979.22,236.95,8.353,5,0.84
1,31,4,1622.88,226.1,7.178,15,0.66
1,31,4,2945.5,224.28,13.133,22,0.68
1,31,4,1636.98,235.02,6.965,18,0.69
1,31,4,3876.51,235.49,16.461,21,0.76
1,31,4,1741.04,234.08,7.438,7,0.81
1,31,4,1368.82,224.97,6.084,14,0.85
1,31,4,1728.34,227.53,7.596,11,0.76
1,31,4,1567.78,234.53,6.685,18,0.81
1,31,4,1822.97,237.85,7.664,7,0.77
1,31,4,2424.65,229.48,10.566,18,0.85
1,31,4,3989.36,239.21,16.677,21,0.87
1,31,4,3418.29,228.92,14.932,18,0.85
1,31,4,2462.13,235.13,10.471,6,0.67
1,31,4,1981.42,236.96,8.362,13,0.85
1,31,4,3349.26,237.56,14.099,6,0.79
1,31,4,1491.97,231.66,6.44,23,0.78
1,31,4,3394.88,222.52,15.257,21,0.63
1,31,4,2920.98,234.43,12.46,10,0.83
1,31,4,1380.19,225.71,6.115,16,0.71
1,31,4,2758.48,225.21,12.248,17,0.75
1,31,4,1515.33,228.96,6.618,17,0.72
1,31,4,1221.49,222.26,5.496,24,0.87
1,31,4,3675.94,236.36,15.552,10,0.76
1,31,4,3846.15,229.99,16.723,22,0.77
1,31,4,2999.93,239.78,12.511,6,0.75
1,31,4,2975.41,235.06,12.658,15,0.81
1,31,4,2593.27,239.22,10.841,4,0.81
1,31,4,3212.31,226.1,14.207,9,0.81
1,31,4,2708.25,222.79,12.156,11,0.86
1,31,4,1690.91,229.87,7.356,13,0.79
1,31,4,1265.12,222.27,5.692,22,0.74
1,31,4,2189.26,238.36,9.185,10,0.71
1,31,4,3835.08,239.69,16.0,23,0.9
1,31,4,2479.25,237.99,10.417,23,0.66
1,31,4,2526.39,225.49,11.204,16,0.65
1,31,4,1242.4,222.16,5.592,6,0.83
1,31,4,1664.84,228.27,7.293,22,0.65
1,31,4,3062.36,232.44,13.175,19,0.68
1,31,4,2095.59,232.26,9.023,12,0.74
1,31,4,3850.63,221.47,17.387,23,0.9
1,31,4,3326.64,238.59,13.943,7,0.69
1,31,4,3587.31,231.0,15.529,14,0.8
1,31,4,1229.69,238.65,5.153,6,0.76
1,31,4,2243.96,234.82,9.556,11,0.84
1,31,4,3139.5,235.32,13.341,8,0.7
1,31,4,2763.95,224.22,12.327,19,0.84
1,31,4,1825.78,228.64,7.985,22,0.87
1,31,4,3544.7,238.95,14.834,23,0.73
1,31,4,1878.22,223.37,8.409,10,0.75
1,31,4,2841.2,226.13,12.564,22,0.65
1,31,4,2351.0,233.01,10.09,9,0.88
1,31,4,3445.35,234.31,14.704,7,0.66
1,31,4,2843.61,220.98,12.868,21,0.68
1,31,4,1533.15,223.29,6.866,6,0.87
1,31,4,2305.29,223.42,10.318,21,0.87
1,31,4,1548.63,226.45,6.839,16,0.9
1,31,4,2111.43,232.2,9.093,15,0.79
1,31,4,1374.03,223.76,6.141,15,0.77
1,31,4,2726.14,220.06,12.388,6,0.62
1,31,4,3282.2,235.33,13.947,9,0.73
1,31,4,2739.55,226.5,12.095,7,0.71
1,31,4,1237.57,227.5,5.44,15,0.64
1,31,4,2517.53,231.72,10.865,20,0.74
1,31,4,3802.17,226.18,16.81,16,0.88
1,31,4,3382.22,234.06,14.45,12,0.78
1,31,4,1716.52,238.11,7.209,17,0.87
1,31,4,1445.57,221.44,6.528,20,0.7
1,31,4,2256.6,239.22,9.433,4,0.87
1,31,4,3908.49,234.96,16.635,20,0.76
1,31,4,2770.86,238.99,11.594,7,0.64
1,31,4,1246.91,222.5,5.604,10,0.63
1,31,4,1116.73,221.31,5.046,12,0.86
1,31,4,3232.2,238.72,13.54,21,0.69
1,31,4,1289.59,229.58,5.617,6,0.62
1,31,4,1165.11,234.14,4.976,16,0.8
1,31,4,1812.42,224.13,8.086,8,0.82
1,31,4,2812.48,228.4,12.314,19,0.61
1,31,4,1256.82,231.97,5.418,17,0.78
1,31,4,2808.02,232.84,12.06,10,0.63
1,31,4,2805.84,237.82,11.798,14,0.65
1,31,4,2260.31,236.7,9.549,10,0.67
1,31,4,3082.05,231.69,13.302,9,0.66
1,31,4,2177.25,230.08,9.463,13,0.9
1,31,4,3498.83,220.77,15.848,22,0.61
1,31,4,1041.2,220.77,4.716,14,0.74
1,31,4,2551.88,232.61,10.971,22,0.69
1,31,4,2481.72,232.56,10.671,18,0.67
1,31,4,2765.42,223.05,12.398,14,0.86
1,31,4,2323.66,231.07,10.056,10,0.66
1,31,4,1751.27,233.63,7.496,14,0.72
1,31,4,3528.6,234.94,15.019,13,0.82
1,31,4,2232.02,228.72,9.759,9,0.68
1,31,4,1115.98,225.8,4.942,6,0.69
1,31,4,3824.43,233.98,16.345,16,0.7
1,31,4,3256.76,227.85,14.293,17,0.89
1,31,4,1217.78,223.36,5.452,16,0.66
1,31,4,2985.12,221.95,13.45,17,0.85
1,32,3,1208.99,238.61,5.067,12,0.8
1,32,3,2948.31,226.39,13.023,15,0.61
1,32,3,3464.67,234.92,14.748,20,0.72
1,32,3,2070.43,222.43,9.308,10,0.62
1,32,3,1952.88,234.35,8.333,18,0.67
1,32,3,2406.76,226.46,10.628,15,0.63
1,32,3,1149.57,232.56,4.943,20,0.72
1,32,3,3913.4,230.38,16.987,9,0.65
1,32,3,1794.76,237.3,7.563,12,0.74
1,32,3,2233.0,238.66,9.356,6,0.64
1,32,3,3703.24,239.67,15.451,16,0.63
1,32,3,2994.48,239.11,12.523,18,0.64
1,32,3,1717.01,222.46,7.718,11,0.63
1,32,3,1562.69,220.07,7.101,6,0.65
1,32,3,2376.87,232.86,10.207,16,0.78
1,32,3,2608.21,230.09,11.336,24,0.63
1,32,3,2754.04,220.96,12.464,10,0.87
1,32,3,1383.25,238.99,5.788,5,0.86
1,32,3,2089.75,230.29,9.074,20,0.71
1,32,3,3530.89,220.86,15.987,5,0.82
1,32,3,3581.54,237.09,15.106,4,0.86
1,32,3,2764.6,223.85,12.35,24,0.65
1,32,3,3971.37,233.25,17.026,19,0.69
1,32,3,2414.17,234.56,10.292,7,0.74
1,32,3,3351.4,223.08,15.023,20,0.86
1,32,3,1272.82,226.88,5.61,12,0.69
1,32,3,3669.41,227.83,16.106,18,0.84
1,32,3,2064.35,232.29,8.887,23,0.72
1,32,3,1066.5,227.23,4.693,8,0.69
1,32,3,3043.8,233.59,13.031,15,0.89
1,32,3,3071.55,223.28,13.756,16,0.77
1,32,3,1169.41,232.71,5.025,9,0.65
1,32,3,3522.68,228.47,15.419,11,0.88
1,32,3,2016.53,224.46,8.984,9,0.67
1,32,3,2220.88,237.32,9.358,21,0.81
1,32,3,3528.74,224.18,15.741,21,0.62
1,32,3,2620.62,228.6,11.464,15,0.77
1,32,3,3259.92,228.51,14.266,11,0.71
1,32,3,1922.89,227.07,8.468,16,0.81
1,32,3,1757.94,229.73,7.652,12,0.62
1,32,3,3360.42,238.92,14.065,15,0.68
1,32,3,3902.44,235.26,16.588,6,0.84
1,32,3,1168.12,221.62,5.271,9,0.64
1,32,3,3356.08,231.3,14.51,10,0.65
1,32,3,2995.81,225.22,13.302,22,0.86
1,32,3,1665.02,231.05,7.206,14,0.84
1,32,3,3424.9,227.67,15.043,24,0.63
1,32,3,1610.77,222.12,7.252,8,0.86
1,32,3,1944.2,226.41,8.587,8,0.68
1,32,3,2805.38,232.3,12.077,23,0.79
1,32,3,1122.79,227.97,4.925,16,0.9
1,32,3,1769.96,234.48,7.548,23,0.66
1,32,3,2640.82,235.36,11.22,5,0.73
1,32,3,1465.2,237.85,6.16,16,0.83
1,32,3,3142.77,225.81,13.918,5,0.69
1,32,3,1360.35,222.81,6.105,10,0.78
1,32,3,1859.28,236.7,7.855,8,0.79
1,32,3,2844.23,238.95,11.903,19,0.83
1,32,3,3791.8,228.1,16.623,9,0.72
1,32,3,1749.85,229.25,7.633,19,0.9
1,32,3,1513.33,235.27,6.432,4,0.78
1,32,3,1845.24,238.29,7.744,22,0.78
1,32,3,1777.62,237.88,7.473,24,0.71
1,32,3,3660.79,228.51,16.02,6,0.83
1,32,3,2847.28,234.03,12.166,8,0.7
1,32,3,2776.42,239.07,11.613,7,0.89
1,32,3,3262.81,228.33,14.29,14,0.82
1,32,3,3596.41,231.63,15.527,8,0.84
1,32,3,1995.52,231.32,8.627,20,0.6
